,Time,PV_input_current(A),PV_input_voltage(V),Ambient_temp,Irradiance,PV_temp,PV_no.
238,2024-11-01 11:45:00,2.68,688.6,36.5,144.3,46.3,9
239,2024-11-01 11:45:00,2.65,688.6,36.5,144.3,46.3,10
240,2024-11-01 12:00:00,9.27,643.3,35.1,484.4,46.6,1
241,2024-11-01 12:00:00,9.12,643.3,35.1,484.4,46.6,2
242,2024-11-01 12:00:00,9.5,640.6,35.1,484.4,46.6,3
243,2024-11-01 12:00:00,9.01,640.6,35.1,484.4,46.6,4
244,2024-11-01 12:00:00,9.43,635.4,35.1,484.4,46.6,5
245,2024-11-01 12:00:00,8.92,635.4,35.1,484.4,46.6,6
246,2024-11-01 12:00:00,9.5,638.2,35.1,484.4,46.6,7
247,2024-11-01 12:00:00,9.1,638.2,35.1,484.4,46.6,8
248,2024-11-01 12:00:00,9.46,640.8,35.1,484.4,46.6,9
249,2024-11-01 12:00:00,9.15,640.8,35.1,484.4,46.6,10
250,2024-11-01 12:15:00,2.53,646.5,34.9,135.8,45.9,1
251,2024-11-01 12:15:00,2.54,646.5,34.9,135.8,45.9,2
252,2024-11-01 12:15:00,2.64,647.3,34.9,135.8,45.9,3
253,2024-11-01 12:15:00,2.51,647.3,34.9,135.8,45.9,4
254,2024-11-01 12:15:00,2.6,638.3,34.9,135.8,45.9,5
255,2024-11-01 12:15:00,2.5,638.3,34.9,135.8,45.9,6
256,2024-11-01 12:15:00,2.7,647.1,34.9,135.8,45.9,7
257,2024-11-01 12:15:00,2.57,647.1,34.9,135.8,45.9,8
258,2024-11-01 12:15:00,2.69,646.9,34.9,135.8,45.9,9
259,2024-11-01 12:15:00,2.6,646.9,34.9,135.8,45.9,10
260,2024-11-01 12:30:00,1.77,652.5,34.9,78.4,43.0,1
261,2024-11-01 12:30:00,1.97,652.5,34.9,78.4,43.0,2
262,2024-11-01 12:30:00,1.83,647.3,34.9,78.4,43.0,3
263,2024-11-01 12:30:00,1.96,647.3,34.9,78.4,43.0,4
264,2024-11-01 12:30:00,1.72,641.3,34.9,78.4,43.0,5
265,2024-11-01 12:30:00,1.94,641.3,34.9,78.4,43.0,6
266,2024-11-01 12:30:00,1.77,653.1,34.9,78.4,43.0,7
267,2024-11-01 12:30:00,1.85,653.1,34.9,78.4,43.0,8
268,2024-11-01 12:30:00,1.75,649.8,34.9,78.4,43.0,9
269,2024-11-01 12:30:00,1.93,649.8,34.9,78.4,43.0,10
270,2024-11-01 12:45:00,1.97,691.5,33.7,100.4,37.1,1
271,2024-11-01 12:45:00,1.96,691.5,33.7,100.4,37.1,2
272,2024-11-01 12:45:00,2.03,694.5,33.7,100.4,37.1,3
273,2024-11-01 12:45:00,1.96,694.5,33.7,100.4,37.1,4
274,2024-11-01 12:45:00,1.93,677.2,33.7,100.4,37.1,5
275,2024-11-01 12:45:00,1.92,677.2,33.7,100.4,37.1,6
276,2024-11-01 12:45:00,2.0,689.0,33.7,100.4,37.1,7
277,2024-11-01 12:45:00,2.06,689.0,33.7,100.4,37.1,8
278,2024-11-01 12:45:00,1.94,688.7,33.7,100.4,37.1,9
279,2024-11-01 12:45:00,1.94,688.7,33.7,100.4,37.1,10
280,2024-11-01 13:00:00,9.42,661.4,35.0,513.1,44.7,1
281,2024-11-01 13:00:00,10.03,661.4,35.0,513.1,44.7,2
282,2024-11-01 13:00:00,9.36,663.9,35.0,513.1,44.7,3
283,2024-11-01 13:00:00,10.04,663.9,35.0,513.1,44.7,4
284,2024-11-01 13:00:00,9.65,647.2,35.0,513.1,44.7,5
285,2024-11-01 13:00:00,10.16,647.2,35.0,513.1,44.7,6
286,2024-11-01 13:00:00,9.64,659.0,35.0,513.1,44.7,7
287,2024-11-01 13:00:00,10.37,659.0,35.0,513.1,44.7,8
288,2024-11-01 13:00:00,9.65,652.8,35.0,513.1,44.7,9
289,2024-11-01 13:00:00,10.41,652.8,35.0,513.1,44.7,10
290,2024-11-01 13:15:00,1.69,673.5,33.8,68.6,38.4,1
291,2024-11-01 13:15:00,1.7,673.5,33.8,68.6,38.4,2
292,2024-11-01 13:15:00,1.78,676.0,33.8,68.6,38.4,3
293,2024-11-01 13:15:00,1.67,676.0,33.8,68.6,38.4,4
294,2024-11-01 13:15:00,1.74,665.3,33.8,68.6,38.4,5
295,2024-11-01 13:15:00,1.71,665.3,33.8,68.6,38.4,6
296,2024-11-01 13:15:00,1.67,674.5,33.8,68.6,38.4,7
297,2024-11-01 13:15:00,1.76,674.5,33.8,68.6,38.4,8
298,2024-11-01 13:15:00,1.67,670.8,33.8,68.6,38.4,9
299,2024-11-01 13:15:00,1.83,670.8,33.8,68.6,38.4,10
300,2024-11-01 13:30:00,1.08,682.5,33.0,46.1,34.6,1
301,2024-11-01 13:30:00,1.3,682.5,33.0,46.1,34.6,2
302,2024-11-01 13:30:00,1.17,682.6,33.0,46.1,34.6,3
303,2024-11-01 13:30:00,1.27,682.6,33.0,46.1,34.6,4
304,2024-11-01 13:30:00,1.14,671.3,33.0,46.1,34.6,5
305,2024-11-01 13:30:00,1.31,671.3,33.0,46.1,34.6,6
306,2024-11-01 13:30:00,1.27,683.1,33.0,46.1,34.6,7
307,2024-11-01 13:30:00,1.35,683.1,33.0,46.1,34.6,8
308,2024-11-01 13:30:00,1.07,682.9,33.0,46.1,34.6,9
309,2024-11-01 13:30:00,1.42,682.9,33.0,46.1,34.6,10
310,2024-11-01 13:45:00,1.08,688.5,32.9,57.7,33.6,1
311,2024-11-01 13:45:00,1.3,688.5,32.9,57.7,33.6,2
312,2024-11-01 13:45:00,1.17,694.5,32.9,57.7,33.6,3
313,2024-11-01 13:45:00,1.47,694.5,32.9,57.7,33.6,4
314,2024-11-01 13:45:00,1.14,677.2,32.9,57.7,33.6,5
315,2024-11-01 13:45:00,1.31,677.2,32.9,57.7,33.6,6
316,2024-11-01 13:45:00,1.24,689.0,32.9,57.7,33.6,7
317,2024-11-01 13:45:00,1.35,689.0,32.9,57.7,33.6,8
318,2024-11-01 13:45:00,1.07,700.7,32.9,57.7,33.6,9
319,2024-11-01 13:45:00,1.42,700.7,32.9,57.7,33.6,10
320,2024-11-01 14:00:00,1.49,703.6,32.9,85.2,34.0,1
321,2024-11-01 14:00:00,1.9,703.6,32.9,85.2,34.0,2
322,2024-11-01 14:00:00,1.57,700.7,32.9,85.2,34.0,3
323,2024-11-01 14:00:00,1.87,700.7,32.9,85.2,34.0,4
324,2024-11-01 14:00:00,1.54,686.7,32.9,85.2,34.0,5
325,2024-11-01 14:00:00,1.71,686.7,32.9,85.2,34.0,6
326,2024-11-01 14:00:00,1.64,697.8,32.9,85.2,34.0,7
327,2024-11-01 14:00:00,1.75,697.8,32.9,85.2,34.0,8
328,2024-11-01 14:00:00,1.47,697.6,32.9,85.2,34.0,9
329,2024-11-01 14:00:00,1.83,697.6,32.9,85.2,34.0,10
330,2024-11-01 14:15:00,1.69,697.6,32.8,88.2,34.3,1
331,2024-11-01 14:15:00,2.11,697.6,32.8,88.2,34.3,2
332,2024-11-01 14:15:00,1.77,689.1,32.8,88.2,34.3,3
333,2024-11-01 14:15:00,2.08,689.1,32.8,88.2,34.3,4
334,2024-11-01 14:15:00,1.74,692.8,32.8,88.2,34.3,5
335,2024-11-01 14:15:00,1.92,692.8,32.8,88.2,34.3,6
336,2024-11-01 14:15:00,1.65,692.0,32.8,88.2,34.3,7
337,2024-11-01 14:15:00,2.15,692.0,32.8,88.2,34.3,8
338,2024-11-01 14:15:00,1.68,697.8,32.8,88.2,34.3,9
339,2024-11-01 14:15:00,2.03,697.8,32.8,88.2,34.3,10
340,2024-11-01 14:30:00,5.51,691.5,33.7,374.5,39.7,1
341,2024-11-01 14:30:00,7.3,691.5,33.7,374.5,39.7,2
342,2024-11-01 14:30:00,5.44,688.7,33.7,374.5,39.7,3
343,2024-11-01 14:30:00,7.43,688.7,33.7,374.5,39.7,4
344,2024-11-01 14:30:00,5.54,686.8,33.7,374.5,39.7,5
345,2024-11-01 14:30:00,7.16,686.8,33.7,374.5,39.7,6
346,2024-11-01 14:30:00,5.52,689.1,33.7,374.5,39.7,7
347,2024-11-01 14:30:00,7.44,689.1,33.7,374.5,39.7,8
348,2024-11-01 14:30:00,5.48,692.0,33.7,374.5,39.7,9
349,2024-11-01 14:30:00,7.27,692.0,33.7,374.5,39.7,10
350,2024-11-01 14:45:00,5.99,670.5,35.2,400.2,44.5,1
351,2024-11-01 14:45:00,7.9,670.5,35.2,400.2,44.5,2
352,2024-11-01 14:45:00,5.86,670.7,35.2,400.2,44.5,3
353,2024-11-01 14:45:00,7.9,670.7,35.2,400.2,44.5,4
354,2024-11-01 14:45:00,5.94,665.4,35.2,400.2,44.5,5
355,2024-11-01 14:45:00,7.68,665.4,35.2,400.2,44.5,6
356,2024-11-01 14:45:00,5.96,671.2,35.2,400.2,44.5,7
357,2024-11-01 14:45:00,7.92,671.2,35.2,400.2,44.5,8
358,2024-11-01 14:45:00,5.91,664.9,35.2,400.2,44.5,9
359,2024-11-01 14:45:00,7.9,664.9,35.2,400.2,44.5,10
360,2024-11-01 15:00:00,5.22,676.5,34.8,360.5,43.4,1
